Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7-1355U,327,76.2,3790,https://cpu.userbenchmark.com/SpeedTest/2070236/13th-Gen-IntelR-CoreTM-i7-1355U
CPU,,AMD,Ryzen 5 4500,328,76.2,2402,https://cpu.userbenchmark.com/SpeedTest/1828229/AMD-Ryzen-5-4500-6-Core-Processor
CPU,,AMD,Ryzen 9 6900HS,329,76.1,1637,https://cpu.userbenchmark.com/SpeedTest/1796538/AMD-Ryzen-9-6900HS-with-Radeon-Graphics
CPU,,Intel,Xeon E5-1650 v2,330,76,10921,https://cpu.userbenchmark.com/SpeedTest/7574/IntelR-XeonR-CPU-E5-1650-v2---350GHz
CPU,,AMD,Ryzen 7 6800HS,331,76,515,https://cpu.userbenchmark.com/SpeedTest/1800947/AMD-Ryzen-7-6800HS-with-Radeon-Graphics
CPU,,Intel,Core i7 X 980,332,76,8133,https://cpu.userbenchmark.com/SpeedTest/1822/IntelR-CoreTM-i7-CPU-------X-980----333GHz
CPU,,AMD,Ryzen 9 5900HS,333,76,3016,https://cpu.userbenchmark.com/SpeedTest/1452199/AMD-Ryzen-9-5900HS-with-Radeon-Graphics
CPU,,Intel,Xeon E3-1271 v3,334,75.9,1699,https://cpu.userbenchmark.com/SpeedTest/17463/IntelR-XeonR-CPU-E3-1271-v3---360GHz
CPU,BX80677I57600K,Intel,Core i5-7600K,335,75.8,195006,https://cpu.userbenchmark.com/Intel-Core-i5-7600K/Rating/3885
CPU,YD270XBGAFBOX,AMD,Ryzen 7 2700X,336,75.7,159077,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700X/Rating/3958
CPU,,Intel,Xeon W3680,337,75.3,6658,https://cpu.userbenchmark.com/SpeedTest/12335/IntelR-XeonR-CPU-----------W3680----333GHz
CPU,,Intel,Xeon E3-1270 v3,338,75.2,1918,https://cpu.userbenchmark.com/SpeedTest/11395/IntelR-XeonR-CPU-E3-1270-v3---350GHz
CPU,,AMD,Ryzen 5 7640HS,339,75.2,426,https://cpu.userbenchmark.com/SpeedTest/2119236/AMD-Ryzen-5-7640HS-w-Radeon-760M-Graphics
CPU,,Intel,Core i7 980,340,75.2,2215,https://cpu.userbenchmark.com/SpeedTest/3336/IntelR-CoreTM-i7-CPU---------980----333GHz
CPU,100-000000083,AMD,Ryzen 7 4700U,341,75.2,19248,https://cpu.userbenchmark.com/SpeedTest/1105478/AMD-Ryzen-7-4700U-with-Radeon-Graphics
